SMILES,NAME,Name,LogFile
CCCCC#CC(=C(C)C)C(F)(F)C(F)(F)F,DTXSID50549070,,
CCCCC(F)(F)C(F)C(F)(F)F,DTXSID50574701,,
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID5059874,,
FC(F)(F)C(F)(F)CCC=C,DTXSID50603909,,
FCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50612617,,
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50616670,,
FCC(F)(CF)C(F)F,DTXSID50617526,,
FC(F)C(F)C(F)(F)C(F)(F)F,DTXSID50618977,,
FCCC(F)C(F)F,DTXSID50620131,,
FC1(F)C(C2=CC=CC=C2)C1(F)F,DTXSID50660052,,
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,DTXSID5075230,,
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID5075232,,
FC(F)C(F)(F)C(C(F)F)(C(F)F)C(F)F,DTXSID50759612,,
FC(C(F)=C(F)C(F)(F)C(F)(F)F)=C(F)C(F)(F)C(F)(F)F,DTXSID50761735,,
CCCC1=CC=C(C=C1)C(F)(F)C(F)(F)F,DTXSID50856559,,
FC1CC(F)(F)C(F)(F)C1(F)F,DTXSID50880218,,
FC(F)(F)[C@]1(F)C(F)(F)[C@@](F)(C(F)(F)F)C1(F)F,DTXSID50880359,,
F[C@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID50881346,,
CCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50881381,,
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,DTXSID50893343,,
CC(F)(F)C(F)(F)C(F)(F)F,DTXSID50894956,,
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895160,,
CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895165,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=C,DTXSID50895180,,
CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895201,,
FC(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1,DTXSID50895206,,
CCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895221,,
CCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895241,,
CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895246,,
FC(=CC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,DTXSID50895261,,
CCCCCC=C(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895281,,
CCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895322,,
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895342,,
FC(F)(F)C(F)(F)C(F)(F)C#CC1=CC=CC=C1,DTXSID50895362,,
FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID50895382,,
FC1=C(F)C(F)=C(C(F)=C1F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50895640,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID601021924,,
CC1(F)C(F)(F)C(F)(F)C(F)(F)C(C)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID601023099,,
FC1C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID601020302,,
FC(F)(F)C1(F)C2CC(C3C4CC(C=C4)C23)C1(F)F,DTXSID601026700,,
FCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID601026924,,
CCCCCCCCC(F)(F)C(F)(F)F,DTXSID601026936,,
CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID601032559,,
FC(F)(F)C1=C(C(F)(F)F)C2(F)C=CC1(F)C(F)(F)C2(F)F,DTXSID601045623,,
